,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011,Q4-2010,Q3-2010,Q2-2010
equityOnTotalAsset,0.532,0.484,0.295,0.348,0.311,0.402,0.384,0.406,0.431,0.454,0.484,0.477,0.47,0.455,0.487,0.504,0.459,0.575,0.515,0.533,0.516,0.566,0.468,0.501,0.435,0.479,0.42,0.446,0.654,0.57,0.334,0.353,0.334,,,,,,,,,,,,,,,,,,,
equityOnLiability,1.2,1.0,0.4,0.5,0.5,0.7,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.8,1.0,1.0,0.8,1.4,1.1,1.1,1.1,1.3,0.9,1.0,0.8,0.9,0.7,0.8,1.9,1.3,0.5,0.5,0.5,0.5,0.3,0.4,0.4,0.5,0.6,0.2,0.6,0.6,0.6,0.6,0.5,0.4,0.5,0.3,0.3,0.6,0.7,0.6
currentPayment,2.2,2.0,1.4,1.6,1.5,1.7,1.6,1.7,1.7,1.8,1.9,1.9,1.8,1.8,1.9,2.0,1.8,2.3,2.0,2.1,2.0,2.3,1.8,2.0,1.7,1.9,1.7,1.8,2.8,2.3,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.5,1.5,1.2,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.4,1.5,1.2
quickPayment,2.2,2.0,1.4,1.6,1.5,1.7,1.6,1.7,1.7,1.8,1.9,1.9,1.8,1.8,1.9,2.0,1.8,2.3,2.0,2.1,2.0,2.3,1.8,2.0,1.7,1.9,1.7,1.8,2.8,2.3,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.5,1.5,1.2,1.5,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.4,1.5,1.2
epsChange,0.538,143.059,-1.015,-0.904,0.007,0.007,0.096,0.138,1.256,1.982,1.245,-1.3,-2.082,0.279,-0.316,-0.017,-0.414,-0.355,-0.019,-0.206,0.228,0.294,0.019,0.346,0.272,-0.11,0.544,0.281,0.34,-0.675,-0.379,0.002,-0.017,1.184,8.619,-0.275,3.492,-1.094,-0.368,-0.16,0.111,-0.595,0.078,-0.355,-0.223,1.669,-0.293,4.402,-1.597,0.076,-0.775,-0.115
ebitdaOnStock,-1313.0,-986.0,-99.0,519.0,4986.0,4970.0,5071.0,4802.0,4016.0,1891.0,597.0,250.0,-759.0,381.0,282.0,440.0,465.0,825.0,1480.0,1490.0,2014.0,1643.0,1458.0,1440.0,1049.0,803.0,990.0,546.0,393.0,265.0,1911.0,3063.0,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,0.738,0.026,0.283,,0.511,0.544,0.498,0.651,0.752,0.71,0.807,1.304,,0.149,0.318,0.197,0.454,0.032,0.499,0.166,0.581,0.503,0.432,0.502,0.637,0.272,0.432,0.466,0.521,0.55,0.32,0.498,0.417,0.681,0.75,0.405,0.444,0.499,0.346,0.388,0.381,-0.196,-0.138,0.263,0.464,-1.908,0.109,-0.393,-0.259,0.502,-0.418,0.588
operatingProfitMargin,0.497,,0.094,,0.414,0.436,0.383,0.56,0.577,0.627,0.503,1.147,,-0.021,0.113,0.024,0.264,-0.12,0.301,0.024,0.444,0.339,0.286,0.38,0.45,0.093,0.304,0.254,0.252,0.068,0.066,0.13,,,,,,,,,,,,,0.104,,,,,,,
postTaxMargin,0.398,0.076,0.173,,0.352,0.386,0.336,0.457,0.478,0.492,0.429,1.126,,0.003,0.116,0.046,0.249,-0.075,0.266,0.042,0.387,0.293,0.268,0.327,0.401,0.088,0.274,0.229,0.268,0.303,0.072,0.135,0.132,0.539,0.597,0.119,0.178,-0.119,-0.069,0.14,0.006,-1.019,-0.712,0.003,0.113,-2.725,-0.136,-0.649,-0.587,0.271,-0.989,0.282
debtOnEquity,0.2,0.2,0.5,0.3,0.6,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.8,0.7,0.8,,,,,,,,,,,,,,,,,,,
debtOnAsset,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,
debtOnEbitda,-3.5,-2.3,-53.9,4.9,1.2,0.3,0.5,0.4,0.3,0.6,2.7,8.7,-1.8,5.0,4.7,4.2,4.5,1.7,0.8,0.6,1.0,0.2,0.4,0.0,0.7,1.4,3.3,4.5,7.0,,,,,,,,,,,,,,,,,,,,,,,
assetOnEquity,1.9,2.1,3.4,2.9,3.2,2.5,2.6,2.5,2.3,2.2,2.1,2.1,2.1,2.2,2.1,2.0,2.2,1.7,1.9,1.9,1.9,1.8,2.1,2.0,2.3,2.1,2.4,2.2,1.5,1.8,3.0,2.8,3.0,,,,,,,,,,,,,,,,,,,
capitalBalance,2061,1986,1507,1473,1697,1597,1437,1367,1172,1124,1043,1005,906,992,1022,1012,1029,1060,1068,1060,1055,1010,766,743,755,733,729,703,688,677,326,323,317,317,261,220,216,211,181,207,200,201,219,229,228,224,201,211,243,269,264,158
cashOnEquity,0.216,0.265,0.544,0.495,0.238,0.288,0.112,0.14,0.142,0.5,0.198,0.335,0.357,0.287,0.136,0.078,0.13,0.065,0.028,0.105,0.036,0.229,0.116,0.131,0.043,0.325,0.031,0.299,0.033,0.673,1.014,0.818,0.788,0.921,1.368,1.351,1.253,0.882,0.75,3.517,0.612,0.558,0.568,0.585,0.834,0.716,0.502,0.4,0.595,0.577,0.548,0.758
cashOnCapitalize,0.148,0.251,0.475,0.426,0.151,0.171,0.046,0.052,0.068,0.373,0.161,0.462,0.542,0.476,0.196,0.104,0.188,0.09,0.042,0.161,0.05,0.207,0.083,0.126,,0.354,0.042,0.42,0.042,0.847,0.63,0.961,1.164,0.96,0.97,1.417,1.739,1.812,1.713,6.544,1.031,1.016,1.122,0.875,1.078,1.997,0.894,0.599,0.689,0.63,0.581,0.531
revenueOnWorkCapital,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.7,0.6,0.4,0.3,0.3,0.3,,,,,,,,,,,,,377.6,2085.6,1890.8,3191.1,172.4,1808.3,1441.7,2168.3,1565.8,8797.3,597.5,1729.4,1221.6,1369.0,466.9,77.6,990.4,810.7,903.5,111.0,2176.1,1675.0,3698.6,1691.2,2009.2,3587.3,14656.8
capexOnFixedAsset,-1.068,-0.987,-1.19,-0.762,-1.008,-0.905,-0.492,-0.477,-0.38,-0.347,-0.384,-0.372,-0.333,-0.438,-0.582,-0.537,-0.703,-0.593,-0.411,-0.522,-0.599,-0.555,-0.72,-0.572,-0.281,-0.258,-0.053,-0.034,-0.032,-0.174,-0.174,-0.363,-0.365,-0.195,-0.182,-0.023,0.0,,,,,,,,,-0.056,-0.873,-1.845,-3.818,-3.739,-0.26,-1.153
revenueOnAsset,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
postTaxOnPreTax,0.7,,1.4,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,,1.5,1.3,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.4,1.2,1.3,1.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.3,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.4
ebitOnRevenue,0.497,,0.094,,0.414,0.436,0.383,0.56,0.577,0.627,0.503,1.147,,-0.021,0.113,0.024,0.264,-0.12,0.301,0.024,0.444,0.339,0.286,0.38,0.45,0.093,0.304,0.254,0.252,0.068,0.066,0.13,,,,,,,,,,,,,0.104,,,,,,,
preTaxOnEbit,1.1,0.9,1.3,1.0,1.1,1.1,1.1,1.0,1.1,1.0,1.1,1.0,1.0,-0.2,1.3,2.1,1.2,0.8,1.1,2.0,1.1,1.1,1.1,1.1,1.1,1.4,1.1,1.2,1.2,1.1,1.1,1.0,,,,,,,,,,,,,1.1,,,,,,,
payableOnEquity,0.9,1.0,2.3,1.8,2.2,1.5,1.6,1.4,1.3,1.2,1.1,1.1,1.1,1.2,1.1,1.0,1.2,0.7,0.9,0.9,0.9,0.8,1.1,1.0,1.3,1.1,1.4,1.2,0.5,0.8,2.0,1.8,2.0,2.2,3.1,2.6,2.8,1.9,1.7,4.6,1.7,1.5,1.6,1.6,2.2,2.5,2.1,2.9,2.9,1.8,1.4,1.6
ebitdaOnStockChange,0.331,8.94,-1.191,-0.896,0.003,-0.02,0.056,0.196,1.124,2.168,1.39,-1.329,-2.993,0.347,-0.358,-0.053,-0.436,-0.443,-0.007,-0.26,0.226,0.127,0.012,0.373,0.306,-0.189,0.814,0.389,0.484,-0.861,-0.376,,,,,,,,,,,,,,,,,,,,,
bookValuePerShareChange,0.027,0.393,0.016,-0.135,0.037,0.085,0.051,0.125,0.084,0.064,0.035,0.106,-0.542,-0.028,0.009,-0.015,-0.026,-0.007,0.02,0.004,0.048,0.3,0.031,-0.012,0.032,0.007,0.03,0.015,0.015,1.027,0.008,0.01,,,,,,,,,,,,,,,,,,,,
