,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011,Q4-2010,Q3-2010,Q2-2010
grossProfitMargin,0.153,0.385,0.526,,0.693,0.771,0.624,0.75,0.644,0.764,0.709,0.821,0.345,0.51,0.619,0.593,0.538,0.507,0.636,0.296,0.621,0.581,0.556,0.603,0.613,0.475,0.281,0.592,0.481,0.424,0.199,0.378,0.194,0.221,0.634,0.229,1.078,0.412,-0.143,0.376,0.538,0.737,-3.106,-0.261,1.165,-0.097,0.163,-3.501,-0.996,-0.144,0.197,0.763
operatingProfitMargin,0.106,0.339,0.453,,0.669,0.673,0.609,0.698,0.622,0.709,0.672,0.793,0.293,0.434,0.576,0.547,0.447,0.462,0.584,0.259,0.587,0.536,0.536,0.565,0.558,0.392,0.242,0.542,0.406,0.354,0.129,0.162,,,,,,,,,,0.242,,,,,,,,,,0.688
postTaxMargin,0.06,0.233,0.296,,0.48,0.498,0.436,0.521,0.457,0.51,0.418,0.57,0.116,0.158,0.333,0.208,0.227,0.256,0.343,0.136,0.372,0.368,0.336,0.371,0.294,0.207,0.049,0.213,0.125,0.352,0.129,0.162,0.126,-0.143,0.576,0.093,0.997,0.135,-0.44,0.156,0.299,0.243,-3.608,-0.145,0.966,0.006,0.005,-5.863,-1.239,-0.165,0.038,0.525
debtOnEquity,0.1,0.0,0.1,0.0,0.5,0.5,0.7,0.5,0.0,0.2,0.5,0.4,0.5,0.4,0.3,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.6,0.5,0.5,0.5,0.6,0.3,0.5,1.1,0.9,0.6,0.7,,,,,,,,,,,,,,,,,,,
debtOnAsset,0.1,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,
debtOnEbitda,-77.1,4.4,1.9,1.1,0.8,0.9,1.3,1.2,0.5,0.8,1.5,1.3,1.8,1.4,1.3,1.1,1.5,1.3,1.2,1.1,1.0,1.3,1.5,1.5,2.1,3.6,3.3,2.5,3.9,,,,,,,,,,,,,,,,,,,,,,,
shortOnLongDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,
assetOnEquity,1.2,1.2,1.2,1.2,1.8,1.8,2.4,2.2,1.8,2.1,2.5,2.1,2.2,2.3,2.1,2.2,2.6,2.6,3.1,3.0,3.1,2.8,3.3,3.3,3.1,3.0,3.5,2.2,3.0,3.3,3.3,3.4,3.5,,,,,,,,,,,,,,,,,,,
capitalBalance,9529,9467,9558,10030,7023,6634,4733,5120,4402,3271,2813,2904,2686,2616,3179,3223,3066,3491,2914,2704,2651,1971,2392,2447,2075,1951,1900,1398,1700,1593,885,870,894,882,867,805,797,727,719,727,719,711,627,683,941,647,646,646,1013,1314,1106,1106
cashOnEquity,0.002,0.11,0.057,0.249,0.133,0.108,0.144,0.122,0.125,0.202,0.106,0.129,0.094,0.391,0.037,0.139,0.101,0.45,0.544,0.211,0.015,0.058,0.068,0.113,0.031,0.325,0.354,0.032,0.726,0.803,1.432,1.037,1.308,1.766,2.417,1.548,1.807,1.136,0.92,0.93,0.847,0.955,0.407,0.146,0.326,0.206,0.475,0.2,0.058,0.215,0.267,0.325
cashOnCapitalize,0.002,0.093,,0.316,0.084,0.086,0.044,0.044,0.058,0.117,0.048,0.136,0.101,0.604,0.067,0.214,0.098,0.352,0.46,0.164,0.018,0.043,0.043,0.079,0.026,0.446,0.774,0.076,1.11,1.196,2.065,1.431,1.507,1.46,1.858,1.49,1.451,1.542,1.38,1.147,1.054,1.105,0.594,0.164,0.341,0.452,0.768,0.355,0.075,0.203,0.233,0.199
cashCirculation,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,-1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,225.0,1.0
revenueOnWorkCapital,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.5,0.6,0.6,0.4,0.4,0.4,,,,,,,,,,,,,195.6,592.4,655.5,1039.6,124.5,364.1,392.6,548.3,119.1,717.9,413.5,92.0,58.7,976.2,921.0,193.5,938.5,502.8,372.7,507.1,198.3,361.7,159.6,586.1,225.5,1.6,176.3
capexOnFixedAsset,-0.683,-0.564,-1.745,-1.581,-1.336,-1.331,-0.34,-0.317,-0.278,-0.309,-0.186,-0.865,-0.815,-0.685,-0.64,-0.44,-0.526,-0.548,-0.733,-0.209,-0.094,-0.015,0.186,-0.566,-1.01,-1.048,-0.754,-0.038,-0.174,-0.051,-0.278,-0.461,-0.356,-0.553,-0.413,-0.262,-0.197,-0.179,-0.145,-0.11,-0.086,-0.001,-0.005,-0.015,-0.014,-0.054,-1.704,-1.655,-1.521,-1.482,-0.611,-0.338
revenueOnAsset,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2
postTaxOnPreTax,0.8,0.8,0.8,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,1.2,1.2,1.2,1.2,1.3,1.2,0.4,1.2,1.1,1.2,1.2,1.2,1.0,1.0,0.9,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.2,1.3
ebitOnRevenue,0.106,0.339,0.453,,0.669,0.673,0.609,0.698,0.622,0.709,0.672,0.793,0.293,0.434,0.576,0.547,0.447,0.462,0.584,0.259,0.587,0.536,0.536,0.565,0.558,0.392,0.242,0.542,0.406,0.354,0.129,0.162,,,,,,,,,,0.242,,,,,,,,,,0.688
preTaxOnEbit,0.7,0.9,0.8,1.1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.6,0.4,0.7,0.5,0.6,0.7,0.7,0.2,0.8,0.8,0.8,0.8,0.6,0.5,0.2,0.4,0.4,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0
payableOnEquity,0.2,0.2,0.2,0.2,0.8,0.8,1.4,1.2,0.8,1.1,1.5,1.1,1.2,1.3,1.1,1.2,1.6,1.6,2.1,2.0,2.1,1.8,2.3,2.3,2.1,2.0,2.5,1.2,2.0,2.3,2.3,2.4,2.5,2.5,5.1,2.9,3.0,1.4,1.0,1.0,0.9,0.9,0.9,0.8,1.0,0.6,0.9,0.5,0.6,0.8,0.7,0.3
ebitdaOnStockChange,-1.069,-0.649,-0.314,-0.647,0.048,-0.084,0.08,0.079,0.222,0.518,0.063,0.062,-0.078,-0.099,0.032,-0.159,-0.254,-0.051,0.006,-0.141,0.215,0.231,0.491,0.216,0.21,0.013,0.227,0.197,0.22,3.718,-0.66,,,,,,,,2.791,7.982,-0.939,,,,,,,,-1.134,-0.517,-0.159,
bookValuePerShareChange,0.009,-0.001,0.004,0.464,0.061,0.479,-0.058,0.169,0.153,0.138,-0.037,0.075,-0.593,0.013,0.041,0.326,0.032,0.049,0.057,0.026,0.11,0.082,0.102,0.069,0.041,0.039,-0.187,0.268,0.012,0.08,0.014,0.018,,,,,,,,,,,,,,,,,,,,
