,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017
capitalBalance,7116,6670,6734,7479,7615,6953,6699,5477,4990,4578,3950,3631,3460,3934,3806,3472,3629,3677,3872,3681,3738,3108,2613,1293
cashOnEquity,0.441,0.527,0.279,0.418,0.199,0.173,0.103,0.262,0.045,0.142,0.107,0.509,0.271,0.196,0.217,0.156,0.126,0.314,0.086,0.163,0.03,0.161,0.039,0.355
cashOnCapitalize,0.165,0.249,0.141,0.254,0.107,0.078,0.034,0.067,0.013,0.062,0.044,0.287,0.258,0.264,0.174,0.096,0.082,0.197,0.051,0.064,0.012,0.043,0.01,0.066
revenueOnWorkCapital,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,,,,,,,,,,,
capexOnFixedAsset,-1.315,-1.221,-1.174,-0.668,-0.305,-0.467,-0.331,-0.586,-1.124,-1.138,-1.276,-1.138,-0.705,-0.628,-0.458,-0.399,-0.337,-0.269,-0.125,-0.653,-0.74,-0.788,-0.778,-0.473
revenueOnAsset,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3
postTaxOnPreTax,0.9,0.9,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
ebitOnRevenue,0.476,0.326,0.556,0.481,0.79,0.62,0.537,0.67,0.525,0.716,0.526,0.888,0.4,0.711,0.661,0.508,0.753,0.519,0.688,0.683,0.799,0.502,0.729,0.716
preTaxOnEbit,0.3,0.1,0.5,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.6,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.8,0.8
payableOnEquity,1.2,1.2,1.4,1.3,1.4,1.5,1.2,1.2,0.9,0.9,0.7,0.8,1.0,0.8,0.7,0.8,0.5,0.8,1.0,1.2,1.0,1.1,1.0,1.8
ebitdaOnStockChange,-0.231,-0.207,-0.206,-0.28,0.1,0.115,0.21,-0.23,0.223,0.179,-0.085,0.173,-0.122,0.095,-0.169,-0.098,-0.143,-0.044,-0.231,0.073,0.294,0.016,0.1,-0.015
bookValuePerShareChange,0.057,-0.015,-0.077,-0.001,0.093,0.032,0.195,0.08,0.081,0.13,0.072,0.033,-0.318,0.068,0.084,-0.033,-0.007,-0.035,0.05,0.001,0.189,0.137,0.879,0.072
