,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011
earningPerShare,-52,749,985,781,1694,1072,1006,972,758,409,408,399,372,233,124,21,-57,-53,-43,-50,-3,-14,-43,-58,-118,-67,-87,-23,12,19,65,20,49,3,-576,-582,-582,-585,-4,0,-2,1,-173,-163,-212,-205,2,33,131
bookValuePerShare,11843.0,11609.0,11675.0,11322.0,11967.0,10879.0,10708.0,5555.0,5286.0,4765.0,1858.0,1744.0,1689.0,1318.0,1213.0,1108.0,1081.0,284.0,294.0,292.0,343.0,342.0,338.0,342.0,347.0,358.0,381.0,401.0,465.0,425.0,469.0,424.0,453.0,,,,,,,,,,,,,,,,
equityOnTotalAsset,0.347,0.345,0.356,0.374,0.445,0.456,0.35,0.315,0.415,0.443,0.26,0.664,0.92,0.813,0.962,0.953,0.983,0.794,0.132,0.132,0.152,0.151,0.15,0.152,0.153,0.157,0.166,0.171,0.194,0.176,0.189,0.17,0.183,,,,,,,,,,,,,,,,
equityOnLiability,0.5,0.5,0.6,0.6,0.8,0.8,0.5,0.5,0.7,0.8,0.4,2.0,11.5,4.4,25.3,20.1,56.3,3.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.1,1.0
currentPayment,4.6,4.7,5.3,5.7,5.4,8.0,3.1,8.3,5.1,10.7,25.2,2.9,11.9,5.1,24.9,20.0,55.5,4.4,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.6
quickPayment,4.6,4.7,5.3,5.7,5.4,8.0,3.1,8.3,5.1,10.7,25.2,2.9,11.9,5.1,24.9,20.0,55.5,4.4,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.6
epsChange,-1.07,-0.24,0.262,-0.539,0.581,0.065,0.035,0.282,0.852,0.002,0.022,0.073,0.592,0.883,4.683,-1.38,0.073,0.237,-0.145,14.142,-0.777,-0.653,-0.259,-0.508,0.759,-0.231,2.794,-2.901,-0.361,-0.71,2.261,-0.596,14.428,-1.006,-0.01,0.0,-0.005,133.93,5.183,-0.759,-2.588,-1.011,0.062,-0.23,0.036,-76.01,-0.918,-0.747,-0.072
ebitdaOnStock,1812.0,2692.0,2722.0,3239.0,4401.0,2985.0,3157.0,4532.0,3340.0,1923.0,2708.0,2057.0,1882.0,1374.0,-11186.0,-11644.0,-12143.0,-16097.0,-365.0,-428.0,-27.0,-119.0,-344.0,-461.0,-962.0,-532.0,-703.0,-164.0,150.0,215.0,611.0,190.0,420.0,,,,,,,,,,,,,,,,
grossProfitMargin,0.299,0.203,0.356,,0.475,0.348,0.362,0.43,0.609,0.487,0.519,0.331,0.515,0.39,0.387,0.363,0.167,-26.858,0.339,6.863,0.313,0.527,0.159,0.148,-0.455,-0.736,-0.387,1.396,0.687,-2.231,0.245,1.228,0.662,0.58,0.75,0.535,0.901,-24.147,0.594,1.359,0.699,1.711,0.751,0.876,0.826,-0.904,0.141,-0.109,0.341
operatingProfitMargin,0.247,0.14,0.285,,0.429,0.234,0.281,0.346,0.541,0.331,0.409,0.196,0.376,0.283,0.27,0.215,-0.684,-27.01,0.064,8.618,-0.014,0.159,-0.222,-0.125,-2.03,-1.806,-0.929,1.676,0.527,-4.265,0.195,-1.096,4.321,,,,,,,,,,,,,,,,
postTaxMargin,0.087,,0.128,,0.273,0.075,0.085,0.188,0.38,0.152,0.22,0.169,0.313,0.235,0.377,0.215,-0.177,-0.077,0.067,8.594,0.026,0.171,-0.202,-0.133,-1.801,-1.803,-0.924,1.676,0.543,-4.232,0.196,-1.165,4.412,0.217,-0.051,0.004,0.058,-62.564,-0.641,0.029,-0.151,0.175,-0.126,-0.058,0.09,-1.743,0.035,-0.219,0.095
debtOnEquity,0.1,0.0,0.1,0.2,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
debtOnAsset,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
debtOnEbitda,0.9,0.4,1.4,0.5,0.3,0.4,1.5,0.1,0.0,0.1,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1,0.0,0.0,-0.5,0.4,,,,,,,,,,,,,,,,,,,,
assetOnEquity,2.9,2.9,2.8,2.7,2.2,2.2,2.9,3.2,2.4,2.3,3.8,1.5,1.1,1.2,1.0,1.0,1.0,1.3,7.6,7.6,6.6,6.6,6.7,6.6,6.5,6.4,6.0,5.8,5.2,5.7,5.3,5.9,5.5,,,,,,,,,,,,,,,,
capitalBalance,5286,5239,5269,4948,4363,4139,4101,3061,2028,1934,1354,330,321,247,229,209,210,50,53,53,63,63,62,62,63,65,69,73,85,65,87,62,63,52,31,31,30,27,100,101,102,101,102,104,104,107,123,120,134
cashOnEquity,0.006,0.007,0.137,0.491,0.332,0.05,0.661,0.5,0.02,1.051,2.493,0.738,0.82,0.444,0.473,0.849,0.826,0.339,0.158,0.235,5.606,5.817,5.783,5.855,5.682,5.57,5.069,4.977,4.299,5.224,4.943,5.286,5.037,5.496,5.395,5.308,5.405,5.307,2.343,2.308,2.332,2.307,2.296,2.355,2.299,5.904,4.889,0.54,0.122
cashOnCapitalize,0.005,0.006,0.17,0.577,0.269,0.021,0.296,0.111,0.005,0.495,0.7,0.64,0.852,0.456,0.422,0.677,,0.08,,,6.693,5.363,6.517,7.96,,5.731,,4.752,4.511,5.145,6.037,5.661,6.348,5.475,4.319,4.83,4.548,6.369,9.568,7.903,8.33,6.551,8.56,6.68,4.405,30.997,15.166,1.248,0.223
revenueOnWorkCapital,0.5,0.6,0.5,0.6,0.6,0.4,0.4,0.5,0.5,0.4,0.4,1.1,1.0,,,,,,,,,,,,,7.8,2.3,9.2,11.4,7.1,4.7,1.0,1.0,1.0,0.9,0.9,0.7,0.8,1.0,1.3,1.8,2.2,4.6,10.7,16.9,20.9,27.0,34.3,19.7
capexOnFixedAsset,-0.251,-0.709,-0.587,-0.515,-2.619,-1.538,-1.58,-1.253,-0.761,-0.726,-1.031,-1.219,-2.395,-2.235,-1.814,-1.94,0.05,0.044,-0.528,-0.191,0.0,0.0,0.0,0.0,-0.106,-0.099,-0.325,-0.28,-0.181,-0.155,-0.484,-0.14,-0.165,-0.145,-0.015,0.494,0.731,0.752,0.819,-0.09,-0.304,-0.636,-0.573,-0.253,-0.208,0.001,-0.757,-1.561,-1.423
revenueOnAsset,0.4,0.5,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.3,0.4,0.8,0.9,0.9,0.3,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.2
postTaxOnPreTax,0.8,,0.8,,0.8,0.7,0.6,0.9,0.8,0.8,0.8,0.8,0.8,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ebitOnRevenue,0.247,0.14,0.285,,0.429,0.234,0.281,0.346,0.541,0.331,0.409,0.196,0.376,0.283,0.27,0.215,-0.684,-27.01,0.064,8.618,-0.014,0.159,-0.222,-0.125,-2.03,-1.806,-0.929,1.676,0.527,-4.265,0.195,-1.096,4.321,,,,,,,,,,,,,,,,
preTaxOnEbit,0.4,-0.2,0.6,2.0,0.8,0.4,0.5,0.6,0.8,0.6,0.7,1.1,1.0,1.0,1.4,1.0,0.3,0.0,1.0,1.0,-1.8,1.1,0.9,1.1,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,,,,,,,,,,,,,,,,
payableOnEquity,1.9,1.9,1.8,1.7,1.2,1.2,1.9,2.2,1.4,1.3,2.8,0.5,0.1,0.2,0.0,0.0,0.0,0.3,6.6,6.6,5.6,5.6,5.7,5.6,5.5,5.4,5.0,4.8,4.2,4.7,4.3,4.9,4.5,5.0,5.9,5.8,5.9,5.8,2.5,2.6,2.6,2.5,2.5,2.6,2.5,6.2,5.5,6.8,1.0
ebitdaOnStockChange,-0.327,-0.011,-0.159,-0.264,0.474,-0.054,-0.304,0.357,0.737,-0.29,0.317,0.092,0.371,-1.123,-0.039,-0.041,-0.246,43.099,-0.148,14.854,-0.773,-0.655,-0.252,-0.521,0.808,-0.243,3.288,-2.093,-0.301,-0.649,2.221,-0.549,,,,,,,,,,,,,,,,,
bookValuePerShareChange,0.02,-0.006,0.031,-0.054,0.1,0.016,0.927,0.051,0.109,1.564,0.065,0.032,0.282,0.086,0.095,0.025,2.805,-0.036,0.01,-0.151,0.003,0.014,-0.013,-0.013,-0.03,-0.061,-0.049,-0.139,0.095,-0.093,0.106,-0.065,,,,,,,,,,,,,,,,,
