,Q1-2023,Q4-2022,Q3-2022,Q2-2022,Q1-2022,Q4-2021,Q3-2021,Q2-2021,Q1-2021,Q4-2020,Q3-2020,Q2-2020,Q1-2020,Q4-2019,Q3-2019,Q2-2019,Q1-2019,Q4-2018,Q3-2018,Q2-2018,Q1-2018,Q4-2017,Q3-2017,Q2-2017,Q1-2017,Q4-2016,Q3-2016,Q2-2016,Q1-2016,Q4-2015,Q3-2015,Q2-2015,Q1-2015,Q4-2014,Q3-2014,Q2-2014,Q1-2014,Q4-2013,Q3-2013,Q2-2013,Q1-2013,Q4-2012,Q3-2012,Q2-2012,Q1-2012,Q4-2011,Q3-2011,Q2-2011,Q1-2011
epsChange,0.171,-2.465,-0.398,-0.299,0.259,1.886,0.735,0.657,0.243,-0.138,0.112,0.126,0.012,1.808,-0.135,-0.253,-0.398,0.117,0.653,-0.302,0.026,0.738,0.037,-43.735,-1.959,-0.996,-0.004,0.105,-0.039,3.141,-0.008,-0.264,0.013,1.23,-0.313,0.035,0.04,-3.314,-0.548,-7.626,0.482,-1.016,-0.039,-0.198,-0.009,3.921,1.029,-1.56,-0.325
ebitdaOnStock,-1959.0,-1980.0,1540.0,3003.0,4475.0,5695.0,2115.0,1963.0,1164.0,927.0,1128.0,1038.0,919.0,1301.0,416.0,470.0,620.0,928.0,798.0,523.0,777.0,767.0,489.0,502.0,48.0,72.0,1965.0,1946.0,1798.0,1874.0,520.0,536.0,,,,,,,,,,,-2027.0,-2128.0,-2673.0,-2714.0,,,722.0
grossProfitMargin,0.879,,,,0.975,0.779,0.939,0.968,0.878,1.021,0.888,0.784,0.733,0.3,0.239,0.037,0.872,0.856,1.0,0.914,0.711,0.893,0.684,0.852,0.671,13.575,0.826,0.716,0.823,0.96,0.809,-0.99,0.891,7.895,0.843,0.854,0.81,0.829,0.716,-0.781,1.1,-0.605,0.635,3.006,1.453,-14.029,0.319,0.298,0.63
operatingProfitMargin,0.788,,,,0.929,0.763,0.893,0.892,0.774,0.953,0.761,0.57,0.506,0.288,0.16,-0.049,0.599,0.539,0.78,0.611,0.005,0.501,0.099,0.692,-0.156,1.08,0.156,0.025,0.008,0.938,0.041,-2.826,,,,,,,,,,,,,,-15.478,,,
postTaxMargin,0.847,,,,0.668,0.687,0.77,0.68,0.666,0.791,0.761,0.357,0.507,0.215,0.16,-0.066,0.599,0.439,0.78,0.488,0.006,0.448,0.072,0.536,-0.156,0.804,-0.019,0.026,0.008,0.941,0.041,-3.109,0.368,5.251,0.061,-0.268,0.379,0.614,0.427,-0.301,0.407,-2.43,-0.522,1.999,0.221,-15.482,-0.641,-0.751,0.025
debtOnEquity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
debtOnAsset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
debtOnEbitda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
assetOnEquity,1.0,1.0,1.1,1.1,1.1,1.2,1.1,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,,,,,,,,,,,,,,,,
capitalBalance,1253,1202,1443,1467,1487,814,545,220,196,165,146,141,139,370,343,340,349,142,141,137,142,141,138,138,133,134,134,134,133,132,107,106,107,106,99,99,99,98,95,93,93,92,95,95,90,90,124,126,128
cashOnEquity,0.004,0.116,0.01,0.134,0.002,0.004,0.137,0.013,0.001,0.009,0.002,0.003,0.001,0.004,0.005,0.002,0.014,0.04,0.132,0.05,0.004,0.112,0.226,0.282,0.302,0.303,0.319,0.317,0.33,0.338,0.343,0.342,0.368,0.373,0.47,0.514,0.553,0.661,0.229,0.081,0.396,0.275,0.224,0.224,0.058,0.008,0.009,0.006,0.012
cashOnCapitalize,0.005,0.172,0.02,0.33,0.003,0.002,0.043,0.004,0.001,0.011,0.002,0.003,0.001,0.005,0.005,0.002,0.016,0.022,0.186,0.042,0.008,0.215,0.427,0.566,0.554,0.527,0.627,0.359,,0.516,0.539,0.666,0.569,0.514,0.56,0.663,0.794,1.183,0.45,0.149,0.944,0.809,0.714,0.557,0.093,0.026,0.016,0.014,0.016
revenueOnWorkCapital,0.1,0.2,0.5,0.6,0.6,0.8,0.4,0.4,0.3,0.1,0.5,0.5,0.5,,,,,,,,,,,,,1.1,,,,6.3,,131.7,136.7,129.5,195.3,119.8,124.5,118.3,176.2,125.1,143.9,150.7,1.5,1.8,2.0,2.3,3.6,4.3,6.7
capexOnFixedAsset,-0.112,-0.112,-0.017,-0.218,-0.127,-0.152,-0.132,-0.41,-0.41,-0.814,-0.904,-1.197,-1.894,-2.074,-1.985,-7.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.071,0.0,0.01,0.0,0.0,-0.486,-0.367,-0.35,-0.035,0.51,0.095,0.38,0.451,0.044,0.304,0.06,-0.331,-0.152,-0.149,-0.071,0.129,-0.045,-0.044
revenueOnAsset,0.1,0.1,0.3,0.4,0.4,0.5,0.2,0.2,0.1,0.1,0.3,0.3,0.4,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
postTaxOnPreTax,1.0,,,,0.7,0.9,0.9,0.8,0.9,0.8,1.0,0.6,1.0,1.3,1.0,0.8,1.0,1.2,1.0,1.3,1.0,1.2,1.0,1.3,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3
ebitOnRevenue,0.788,,,,0.929,0.763,0.893,0.892,0.774,0.953,0.761,0.57,0.506,0.288,0.16,-0.049,0.599,0.539,0.78,0.611,0.005,0.501,0.099,0.692,-0.156,1.08,0.156,0.025,0.008,0.938,0.041,-2.826,,,,,,,,,,,,,,-15.478,,,
preTaxOnEbit,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.1,0.7,1.0,1.0,1.0,-0.1,1.1,1.0,1.0,1.0,1.1,,,,,,,,,,,,,,1.0,,,
payableOnEquity,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
ebitdaOnStockChange,-0.01,-2.286,-0.487,-0.329,-0.214,1.692,0.078,0.686,0.256,-0.178,0.087,0.13,-0.294,2.13,-0.116,-0.242,-0.332,0.163,0.526,-0.327,0.013,0.568,-0.025,9.388,-0.327,-0.963,0.01,0.082,-0.041,2.606,-0.031,,,,,,,,,,,,-0.048,-0.204,-0.015,,,,-0.305
bookValuePerShareChange,0.039,-0.094,-0.028,-0.043,0.805,0.233,0.891,0.058,0.018,0.044,0.015,0.005,0.007,0.056,0.008,-0.003,0.216,0.005,0.028,-0.03,0.001,0.025,0.001,0.035,-0.001,0.001,0.0,0.0,0.0,0.232,0.001,-0.021,,,,,,,,,,,,,,,,,
